publication,doi,region,site_name,sample_id,sample_year,plant_name,genus,species,growth_form,habitat,lat,lon,elevation,cat,n_samples,conc_ugg_plant,c20_fconc,c21_fconc,c22_fconc,c23_fconc,c24_fconc,c25_fconc,c26_fconc,c27_fconc,c28_fconc,c29_fconc,c30_fconc,c31_fconc,c32_fconc,c20_fd2h,c20_fd2h_unc,c22_fd2h,c22_fd2h_unc,c24_fd2h,c24_fd2h_unc,c26_fd2h,c26_fd2h_unc,c28_fd2h,c28_fd2h_unc,c30_fd2h,c30_fd2h_unc,c32_fd2h,c32_fd2h_unc,c20_fd13c,c20_fd13c_unc,c22_fd13c,c22_fd13c_unc,c24_fd13c,c24_fd13c_unc,c26_fd13c,c26_fd13c_unc,c28_fd13c,c28_fd13c_unc,c30_fd13c,c30_fd13c_unc,c32_fd13c,c32_fd13c_unc,c21_aconc,c22_aconc,c23_aconc,c24_aconc,c25_aconc,c26_aconc,c27_aconc,c28_aconc,c29_aconc,c30_aconc,c31_aconc,c32_aconc,c33_aconc,c21_ad2h,c21_ad2h_unc,c23_ad2h,c23_ad2h_unc,c25_ad2h,c25_ad2h_unc,c27_ad2h,c27_ad2h_unc,c29_ad2h,c29_ad2h_unc,c31_ad2h,c31_ad2h_unc,c33_ad2h,c33_ad2h_unc,c21_ad13c,c21_ad13c_unc,c23_ad13c,c23_ad13c_unc,c25_ad13c,c25_ad13c_unc,c27_ad13c,c27_a13c_unc,c29_ad13c,c29_ad13c_unc,c31_ad13c,c31_ad13c_unc,c33_ad13c,c33_ad13c_unc
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Brimstone,BRM_S1,2014,Betula nana,Betula,nana,shrub,terrestrial,63.74,-138.85,639,2,3,1,27.14,2.88,144.75,10,175.54,10.75,100.47,7.37,71.59,4.93,9.29,nan,1.61,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Dempster_Highway,DHP_S1,2014,Betula nana,Betula,nana,shrub,terrestrial,65.21,-138.33,738,2,3,1,56.4,4.5,153.77,15.57,195.05,18.97,218.55,17.63,289.41,9.61,35.28,nan,6.25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Inuvik,INU_S1,2014,Betula nana,Betula,nana,shrub,terrestrial,68.32,-133.55,58,2,3,1,25.69,3.68,61.99,9.79,134.41,19.04,235.29,26.19,379.7,14.37,28.96,nan,3.92,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Bakkelund_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.08.005,Yukon transect,Scree_Hill,SC_S1,2016,Betula nana,Betula,nana,shrub,terrestrial,65.07,-138.16,875,2,4,1,115.49,8.43,116.37,12.71,118.58,19.89,225.46,22.22,182.88,7.49,11.02,nan,2.56,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Balascio_et_al_2018,https://doi.org/10.1016/j.orggeochem.2018.03.008,northern Norway,Hollabattjonnen,Balascio_9,2013,Betula nana,Betula,nana,shrub,terrestrial,69.74,19.13,25,2,1,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3,nan,30.26,nan,26.28,nan,31.05,nan,5.64,nan,5.94,nan,0.52,nan,nan,nan,nan,-144,5,-138,4,-141,3,-145,4,-127,7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR1 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.51,2.9,45.07,28.2,59.67,50.36,74.83,6.21,107.47,6.48,164.95,3.47,13.76,nan,nan,-221.77,1.23,-222.87,0.52,-219.4,0.78,-207.8,0.12,-209.95,0.15,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR10 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.34,3.01,26.06,25.06,32.75,33.59,45.64,3.06,50.37,2.97,55.68,1.27,3.99,nan,nan,nan,nan,-233.28,0.66,-222.62,0.24,-211.02,0.23,-208.4,0.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR14 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.85,4.28,14.38,19.13,39.04,39.05,68.09,3.59,47.71,2.61,59.51,1.15,4.13,nan,nan,nan,nan,-216.57,1.14,-215.1,1.31,-203.72,1.38,-203.86,0.33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR15 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.85,3.4,25.95,28.56,69.12,48.47,104.69,5.94,65.82,4.37,131.1,2.66,9.4,nan,nan,nan,nan,-216.57,1.16,-218.28,0.43,-211.87,0.27,-214,0.39,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR18 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.78,3.93,78.25,19.36,84.62,45.68,115.8,5.2,77.35,4.91,109.26,2.37,7.86,nan,nan,-220.14,0.57,-216.35,0.76,-210.62,0.01,-198.12,0.03,-197.9,0.01,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR2 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.55,10.06,28.57,28.87,84.81,40.73,100.39,5.08,74.94,5.14,160.61,5.13,29.23,nan,nan,nan,nan,-213.7,1.34,-211.98,0.8,-206.35,0.1,-207.46,0.83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR20 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.31,4.34,58.88,26.07,53.71,44.87,54.98,5.16,88.08,6.53,178.34,3.97,15.28,nan,nan,-209.2,0.52,-206.55,0.62,-212.51,0.7,-207.31,0.27,-209.76,0.65,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR3 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.41,3.62,18.65,15.71,41.16,25.24,61.38,3.67,63.57,4.26,107.38,2.2,8.25,nan,nan,nan,nan,-217.15,0.68,-218.64,0.98,-210.99,0.58,-212.01,1.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR4 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.88,3.88,12.34,30.19,43.31,60.96,88.04,7.26,79.88,6.1,150.3,3.31,12.63,nan,nan,nan,nan,nan,nan,-223.79,0.13,-212.69,0.74,-213.52,0.18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR5 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,45.49,16.47,33.7,18.45,26.04,1.64,29.72,1.61,38.05,0,0,nan,nan,-216.28,0.27,-209.11,0.58,-209.34,0.54,-201.34,0.42,-202.01,0.12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR6 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,3.18,18.48,12.42,14.72,12.12,14.02,0.93,13.2,0.8,16.27,0.34,1.01,nan,nan,-225.22,0.37,-221.74,0.65,-218.37,0.47,-210.58,0.71,-211.79,0.77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR7 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.59,2.11,26,11.41,38.1,13.76,31.73,1.39,15.69,1.03,33.75,0.75,3.86,nan,nan,-209.08,1.91,-210.12,1.54,-210.4,1.17,-200.15,1.57,-201.52,0.75,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR8 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.53,5.93,29.73,37.19,75.36,44.61,96.25,4.31,65.98,4.1,78.67,1.93,5.51,nan,nan,nan,nan,-221.63,0.28,-202.31,0.99,-219.06,0.1,-219.42,0.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Berke_et_al_2019,https://doi.org/10.1016/j.gca.2018.10.020,western Greenland,Kangerlussuaq,GR9 BENA,2014,Betula nana,Betula,nana,shrub,terrestrial,67.02,-50.7,50,2,1,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.11,8.04,19.8,33.09,65.3,33.02,73.88,3.2,51.34,2.71,57.27,1.21,4.24,nan,nan,nan,nan,-225.65,0.69,-219.91,1.02,-213.62,0.53,-215.01,0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,8/6/2013,2013,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,199.28,28.3,595.89,123,831.78,325.5,934.24,591.49,1138.18,164.96,246.22,nan,nan,nan,nan,nan,nan,-251.82,nan,-242.77,nan,-245.63,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,15.01,32.9,193.04,163.05,556.31,781.62,24.88,397.88,23.37,670.63,14.08,60.55,nan,nan,nan,nan,-244.82,nan,-228.47,nan,-216.51,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,8/6/2013,2013,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,102.29,11.23,265.85,35.67,257.01,143.8,345.87,945.26,1157.94,30.84,116.34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.51,1.25,10.21,69.48,54.97,357.75,692.66,20.54,322.39,21.14,549.16,12.99,52.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,8/6/2013,2013,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,48.21,5.79,170.4,24.44,239.82,75.36,350.97,162.73,617.59,45.12,50.16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.53,0.83,10.57,69.18,54.94,207.68,389.45,13.54,242.52,13.8,458.72,7.77,42.66,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,8/6/2013,2013,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,35.02,5.85,139.96,7.88,71.92,10.4,44.49,10.89,66.6,14.11,5.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.83,0.36,3.28,1.05,8.9,3.14,62.88,15.65,10.72,2.71,7.43,4.69,2.14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,43.61,4.02,271.35,9.2,144.7,11.27,92,14.86,119.85,1.89,4.89,nan,nan,nan,nan,-269.26,nan,-245.64,nan,-234.05,nan,-230.54,nan,-255.02,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,32.12,118.41,364.06,21.84,475,34.27,1054.28,32.39,150.05,nan,nan,nan,nan,nan,nan,-236.02,nan,-222.92,nan,-227.82,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,17.46,2.92,107.9,8.61,94.44,10.16,102.67,9.37,96.02,2.02,3.86,nan,nan,nan,nan,-274.03,nan,-250.31,nan,-239.33,nan,-231.24,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,89.26,74.56,195.61,305.86,12.39,315.7,22.98,548.47,15.24,53.07,nan,nan,nan,nan,nan,nan,-229.32,nan,-216.22,nan,-226.59,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,20.37,3.08,115.19,9.2,96.13,11.17,96.13,6.71,82.59,1.4,3.2,nan,nan,nan,nan,-262.04,nan,-247.51,nan,-239.89,nan,-241.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,38.65,39.72,136.52,266.31,36.09,290.35,19.8,506.36,14.77,47.12,nan,nan,nan,nan,nan,nan,-240.58,nan,-232.23,nan,-238.36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,39.89,2.75,147.29,7.99,142.3,11.8,101.84,8.45,112.73,1.61,3.85,nan,nan,nan,nan,-269.67,nan,-251.67,nan,-242.96,nan,-233.91,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,50.97,46.86,470.98,18.08,301.15,21.26,474.27,15.45,59.86,nan,nan,nan,nan,nan,nan,-237.49,nan,-220.85,nan,-223.52,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,26.47,3.23,167.36,11.65,132.89,21.87,163.12,26.63,166.23,2.65,7.95,nan,nan,nan,nan,-266.87,nan,-247.29,nan,-246.6,nan,-243.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,45.54,90.75,204.73,637.77,58.09,406.76,24.44,644.63,44.93,65.09,nan,nan,nan,nan,nan,nan,-241.09,nan,-228.65,nan,-232.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,26.11,2.99,157.68,10.65,112.75,18.67,133.09,21.43,130,2.24,6.43,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,75.92,141.33,194.93,655.45,47.52,371.48,21.64,566.5,41.33,55.29,nan,nan,nan,nan,nan,nan,-237.69,nan,-230.79,nan,-234.22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,40.43,2.92,187.52,8.48,137.09,12.6,114.05,9.3,142.78,2.06,4.73,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,22.32,78.11,89.71,738.6,25.79,396.79,24.58,493.22,17.08,58.28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/17/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,5.07,0.24,5.79,0.3,3.83,0.19,0.74,0.13,0.3,0.03,0.03,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,18.52,14.9,64.72,46.97,351.78,9.23,247.63,17.12,428.36,13.15,41.6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/19/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,27.53,1.96,139.39,5.58,89.89,9.95,77.27,13.73,96.05,2.04,6.08,nan,nan,nan,nan,-282.28,nan,-267.59,nan,-248.55,nan,-248.49,nan,-250.08,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,63.03,92.55,326.1,12.12,280.05,22.22,701.95,28.26,124.6,nan,nan,nan,nan,nan,nan,-249.13,nan,-237.67,nan,-243.57,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,7/19/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,14.78,1.32,92.36,4,59.93,5.98,53.17,5.92,61.13,1.28,3.74,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,43.44,76.68,131.97,317.21,12.62,286.45,20.17,660.46,22.68,104.32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,8/7/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,29.13,3.38,106.95,9.57,103.36,14.06,134.93,12.86,127.48,2.17,4.8,nan,nan,nan,nan,-263.81,nan,-242.22,nan,-242.55,nan,-235.54,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,23.53,113.06,132.24,269.96,689.51,69.94,351.72,69.88,575.14,39.5,60.88,nan,nan,nan,nan,nan,nan,-236.5,nan,-224.88,nan,-224.23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Daniels_et_al_2017,https://doi.org/10.1016/j.gca.2017.06.028,Brooks Range,Toolik,8/7/2014,2014,Betula nana,Betula,nana,shrub,terrestrial,68.5,-149.5,745,2,1,1,70.7,6.69,316.55,17.03,189.43,28.26,243.24,29.6,245.54,3.65,12.53,nan,nan,nan,nan,-269.17,nan,-245.71,nan,-244.6,nan,-234.89,nan,-240.62,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,73.04,193.7,263.53,548.48,761.04,191.75,491.08,109.86,1223.37,54.27,168.34,nan,nan,nan,nan,-249.93,nan,-244.04,nan,-232.37,nan,-235.26,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
